2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 1432, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 679, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 23, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 412, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 1391, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 472, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 418, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 358, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 985, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 348, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 14, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 1022, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 288, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 336, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 549, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 526, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 1433, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 303, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 2368, capacity:50000, cargo:50000} byla přepadena piráty
